id,file,line,section,severity,source_phase,runtime_status,owning_pack,row_class_or_scope,assertion,missing_evidence,evidence_artifact_status,message
dsar_cascade_aggregate_recompute_suppression_completeness,Sourcera_Master_Spec.md,67212,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m11_3`,m11_3,QA test pack against §4.4.18 / §4.4.12 / §4.4.15 / §4.4.16 entity recompute mutations.,Cohort recompute that drives post-recompute cohort size below per-entity `k_anon_floor` MUST suppress the cell within the cascade transaction.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
dsar_cascade_aggregate_recompute_backstop_drift,Sourcera_Master_Spec.md,67213,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m21_3`,m21_3,Datadog metric on the §4.4.18 / §4.4.12 / §4.4.15 / §4.4.16 nightly sweep.,The nightly defense-in-depth backstop sweep MUST emit `dsar_cascade_aggregate_recompute_backstop_drift = 0` per scan-pass; positive values indicate a synchronous-cascade miss and trigger SEV-3 PagerDuty alert.,".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",.github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
dsar_cascade_bridge_payload_body_pii_sweep_completeness,Sourcera_Master_Spec.md,67214,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m11_3`,m11_3,DSAR cascade-walker code paths + cascade-transaction property tests.,Cascade walker MUST invoke §48.4.4 PII detector on every free-text field listed in §6.8.4.5 sweep scope for every Bridge Event row in the cascade plan. Sweep failure MUST emit `dsar_cascade_body_pii_sweep_failed` (HTTP 503) and route to §6.8.4.6 partial-failure path.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
dsar_cascade_bridge_redaction_hash_recompute,Sourcera_Master_Spec.md,67215,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m11_3`,m11_3,Bridge Event row write tests post-cascade.,Detected PII spans replaced with `[REDACTED_DSAR]` sentinel MUST trigger `redaction_verification_hash` recomputation per §4.7.1.1.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
bridge_payload_body_pii_sweep_buyer_seller_parity,Sourcera_Master_Spec.md,67217,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m11_3`,m11_3,QA test pack against §22.3.1 + §6.8.4.5 sweep paths.,Buyer-side body-redaction sweep (§6.8.4.5) and seller-side body-redaction sweep (§22.3.1) MUST produce structurally-symmetric `redaction_state` post-cascade for matched Q&A bodies and Bridge Event payloads.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
dsar_cascade_partial_failure_pagerduty_sla,Sourcera_Master_Spec.md,67218,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m11_3`,m11_3,Datadog synthetic test against `dsar.cascade.partial_failure` event emission + PagerDuty webhook.,`dsar.cascade.partial_failure` MUST trigger PagerDuty page on `dsar-ops` queue at SEV-2 within 60 seconds of pause.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
dsar_cascade_partial_failure_resume_sla_24h,Sourcera_Master_Spec.md,67219,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m11_3`,m11_3,DSAR cascade `pause_started_at` → `dsar.cascade.resume` SLA telemetry.,Ops-review resume SLA = 24 hours from `pause_started_at`; SLA breach MUST fire `dsar_cascade_partial_failure_sla_breach` Datadog alarm SEV-1 and page `dsar-ops-escalation`.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
dsar_cascade_statutory_ceiling_auto_escalation,Sourcera_Master_Spec.md,67220,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m11_3`,m11_3,DSAR cascade cumulative-pause computation tests.,Cumulative pause-duration breach of the 30-day SLA MUST auto-escalate to §6.8.6 extension path with subject notification within 72h; cumulative breach of 90-day statutory ceiling MUST administratively close the cascade and open the supervisory-authority notification path.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
dsar_cascade_pseudonym_epoch_consistency,Sourcera_Master_Spec.md,67222,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m11_3`,m11_3,DSARRequest schema + User schema + Pattern B re-pseudonymization workflow tests.,DSARRequest MUST carry `pseudonym_epoch_id_at_cascade`; User MUST carry `pseudonym_epoch_id`; cascade idempotency check binds both via `WHERE dsar_redacted_under_request_id = $request_id AND pseudonym_epoch_id_at_cascade = $current_epoch`.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
dr_failover_residency_bound,Sourcera_Master_Spec.md,67223,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m21_3`,m21_3,Convex deployment topology static analysis at deploy time.,"The Convex deployment configuration MUST declare same-residency replica pairs for every residency partition listed in §1.6 (`us`, `eu`, `apac`, `custom`). Cross-residency replica configurations rejected at deploy time.",".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",.github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
dns_failover_target_residency_match,Sourcera_Master_Spec.md,67224,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m21_3`,m21_3,Datadog synthetic chaos test (quarterly).,DNS failover MUST target a same-residency replica only; cross-residency DNS failover events constitute a property-test failure.,".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",.github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
dr_failover_no_cross_residency,Sourcera_Master_Spec.md,67225,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m21_3`,m21_3,QA chaos test against concurrent same-residency primary + replica outage.,Concurrent outage MUST degrade to read-only with `residency_failover_blocked` (HTTP 503) on writes; cross-residency failover is forbidden.,".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",.github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
dr_restore_test_residency_partition,Sourcera_Master_Spec.md,67226,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m21_3`,m21_3,Quarterly DR restore-test runtime telemetry.,Per-region staging-restore stacks MUST exist for every residency partition; quarterly DR test restores MUST execute against the matching residency staging stack only.,".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",.github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
dr_game_day_overdue,Sourcera_Master_Spec.md,67227,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m21_3`,m21_3,Quarterly DR game-day cadence Datadog alarm.,Per-region game-day rehearsal MUST execute quarterly per residency partition; missed game-day fires Datadog SEV-3 alarm.,".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",.github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
backup_residency_partition_isolation,Sourcera_Master_Spec.md,67228,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m21_3`,m21_3,Convex backup-topology static analysis at deploy time.,Convex snapshot blobs MUST be stored in the same residency region as the source shard; cross-region snapshot replication forbidden.,".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",.github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
s3_replication_policy_residency_bound,Sourcera_Master_Spec.md,67229,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9 [V11],`spec_binding_pending_pack_m21_3`,m21_3,Terraform IaC static analysis at apply time.,S3 replication policies MUST target same-residency replica buckets only; cross-region replica configurations rejected with `residency_backup_replication_blocked` (HTTP 422).,".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",.github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
s3_cross_region_replica_dpa_approval_required,Sourcera_Master_Spec.md,67230,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m21_3`,m21_3,Terraform IaC apply hook + AuditEvent emission check.,"Cross-region replica policy override MUST emit `org.residency.cross_region_replica_approved` AuditEvent prior to IaC apply; absent approval, IaC apply fails.",".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",.github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
backup_dsar_repseudonymization_completeness,Sourcera_Master_Spec.md,67231,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m21_3`,m21_3,DSAR fulfillment QA test pack.,Cascade MUST emit `dsar.cascade.backup_repseudonymization_required` on cascade-target blob set computation; the cascade does NOT mark fulfillment until `dsar.cascade.backup_repseudonymization_completed` (in-place) OR `dsar.cascade.backup_repseudonymization_completed_via_exclusion` fires.,".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",.github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
dsar_excluded_snapshot_restore_blocked,Sourcera_Master_Spec.md,67232,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m21_3`,m21_3,Backup-restore handler tests.,Restore from a `dsar_excluded_snapshots` blob MUST reject with `restore_from_dsar_excluded_snapshot_blocked` (HTTP 403).,".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",.github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
snapshot_catalog_residency_partition,Sourcera_Master_Spec.md,67233,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m21_3`,m21_3,Snapshot catalog read-path static analysis + integration tests.,Per-region snapshot retention catalogs MUST be residency-bound; cross-region catalog reads from customer surfaces blocked.,".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",.github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
attachment_dsar_72h_binary_detach_sla,Sourcera_Master_Spec.md,67234,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V9,`spec_binding_pending_pack_m11_3`,m11_3,Datadog synthetic test against the Convex Storage delete API on a Pattern-A DSAR-attached binary.,DSAR right-to-erasure on uploader MUST result in binary payload hard-deleted from storage backend within 72 hours of cascade `dsar.cascade.row_redacted`.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
cost_base_recalc_notice_window_trajectory_gate,Sourcera_Master_Spec.md,67243,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V11 (D-11.3-002 remediation),`spec_binding_pending_pack_m11_3`,m11_3,§34.18 cost-base recalc trajectory authoring; PolicyIngestion-driven recalc tests.,"The cost-base recalc notice window MUST trajectory through the canonical 30-day notice → 7-day final-warning → recalc-applied sequence; deviations from the trajectory (skipped notice, late warning, premature apply) fail.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
kb_bootstrap_per_org_concurrency_lock_active,Sourcera_Master_Spec.md,67246,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V11 (D-11.3-002 remediation; v7.1.1 stamp gate),`spec_binding_pending_pack_m11_3`,m11_3,§22.4.4 KB Bootstrap concurrency-lock runtime path (Convex transaction handler) + integration tests.,Concurrent KB Bootstrap invocations for the same Org MUST acquire a per-Org Convex transaction lock; second-invocation rejection MUST return HTTP 409 `kb_bootstrap_already_in_progress` per Appendix I.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
bid_disqualification_cascade_active,Sourcera_Master_Spec.md,67247,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V11 (D-11.3-002 remediation; v7.1.1 stamp gate),`spec_binding_pending_pack_m11_3`,m11_3,§48.8.10 Cross-Console Bridge bid-disqualification cascade handler + property tests.,Bid disqualification on the buyer side MUST cascade to the seller-bound BidWorkspace via the Console Bridge `bid.disqualified` event within 60 seconds; cascade failure MUST emit `bid_disqualification_cascade_failed` (HTTP 503) and route to §6.8.4.6 partial-failure path.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
wallet_read_role_gate_scope,Sourcera_Master_Spec.md,67248,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V11 (D-11.3-002 remediation),`spec_binding_pending_pack_m11_3`,m11_3,`/v1/orgs/{org_id}/wallet` endpoint handler tests; §5.11 Feature Access Matrix wallet:read row.,"Only `billing_admin`, `org_owner`, `org_admin`, and Buyer Console `finance` roles MAY read the AIWallet. Any other role attempting `GET /v1/orgs/{org_id}/wallet` MUST return HTTP 403 `wallet_read_role_forbidden`.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
committed_spend_single_pool_invariant,Sourcera_Master_Spec.md,67249,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V11 (D-11.3-002 remediation),`spec_binding_pending_pack_m24_3`,m24_3,`/v1/orgs/{org_id}/committed-spend/*` handler tests; §34.13 Committed Spend authoring.,"At most one active `CommittedSpendPool` row per `(org_id, console)` tuple. Attempt to create a second active pool MUST return HTTP 422 `committed_spend_pool_already_active`.",".github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators",.github/workflows/billing-runtime.yml:missing; tests/billing:missing; convex/deploy_validators:missing,"Runtime status is still spec_binding_pending_pack_m24_3; required artifact evidence not promoted. Checked: .github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators."
committed_spend_single_auto_renew_invariant,Sourcera_Master_Spec.md,67250,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V11 (D-11.3-002 remediation),`spec_binding_pending_pack_m24_3`,m24_3,`/v1/orgs/{org_id}/committed-spend/renew` handler tests; §34.13 Committed Spend authoring.,"At most one auto-renew schedule per `(org_id, console)` tuple. Conflicting schedule registration MUST return HTTP 422 `committed_spend_auto_renew_already_scheduled`.",".github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators",.github/workflows/billing-runtime.yml:missing; tests/billing:missing; convex/deploy_validators:missing,"Runtime status is still spec_binding_pending_pack_m24_3; required artifact evidence not promoted. Checked: .github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators."
committed_spend_console_scope_consistency,Sourcera_Master_Spec.md,67251,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,V11 (D-11.3-002 remediation),`spec_binding_pending_pack_m24_3`,m24_3,Committed-spend cross-console-read handlers + property tests.,Committed-spend pools are console-scoped per §1.3 firewall: a `console=buyer` pool MUST NOT be readable from a seller-console session and vice versa. Cross-console read attempt MUST return HTTP 404 (subkind `firewall_non_leak` per §7.2).,".github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators",.github/workflows/billing-runtime.yml:missing; tests/billing:missing; convex/deploy_validators:missing,"Runtime status is still spec_binding_pending_pack_m24_3; required artifact evidence not promoted. Checked: .github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators."
accessibility_settings_preference_contract,Sourcera_Master_Spec.md,67263,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,Phase 37 P1 (D-37-003 remediation),`spec_binding_pending_pack_m11_3`,m11_3,"Settings -> Accessibility UI, §4.2.14 UserAccessibilityPreference handlers, DSAR export.","Saving Settings -> Accessibility MUST persist UserAccessibilityPreference, apply without reload, emit redacted AuditEvent, and include the row in DSAR export while redacting raw assistive-tech JSON.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
rtl_directionality_runtime_contract,Sourcera_Master_Spec.md,67267,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,Phase 37 P1 (D-37-002 remediation),`spec_binding_pending_pack_m11_3`,m11_3,`useDirectionality()` hook and `responsive_conformance_suite` RTL passes.,"RTL sessions MUST set `dir`, mirror directional icons only, align numbers per §38.11, and preserve meaningful reading order at every responsive tier.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
locale_resolution_engine_contract,Sourcera_Master_Spec.md,67268,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,Phase 37 P1 (D-37-005 remediation),`spec_binding_pending_pack_m11_3`,m11_3,"Locale Resolution Engine, `next-intl` formatting, public and authenticated route shells.","Locale resolution MUST follow §37.2 precedence, set `<html lang>`, use ICU MessageFormat, and render locale-aware dates / numbers / currency without string concatenation.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
workspace_pulse_health_persistence_contract,Sourcera_Master_Spec.md,67273,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,Phase 4.11 P1 (D-4.11-007 remediation),`spec_binding_pending_pack_m11_3`,m11_3,"§4.3.22.2 entity writes, daily Pulse compute scheduler, Solo-mode suppression path, and threshold-event correlation.","Daily Pulse compute MUST write exactly one WorkspacePulseHealth row per Workspace per UTC day, persist the same row in Solo Mode while suppressing only the surface, lock Phase 12 rows against mutable recompute, and bind color-band transitions to the threshold event ID when emitted.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
seller_pulse_surface_engine_mapping,Sourcera_Master_Spec.md,67277,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,Phase 5.5 / Phase 24 P1 (D-24-014 remediation),`spec_binding_pending_pack_m11_3`,m11_3,Appendix M.1 Seller Pulse row + §24.4.4 Solo Seller Surface Treatment.,"Seller Pulse MUST have a distinct Appendix M.1 row, must not be collapsed with Seller Inbox or Seller Analytics, and must preserve engine writes while suppressing per-component breakdown / team status / trend chart on Seller Solo / Free.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
firecrawl_outage_progress_line_substitution,Sourcera_Master_Spec.md,67430,M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions},blocker,runtime_behavior,spec_binding_pending_pack_m02_3,m02_3,next.js render-path test + Datadog synthetic,"§48.8.3 step 5 sequencer reads `provider_health_state(firecrawl)` at line-render; substitute line never renders literal `""Scanning""`; §48.8.7 #7 detector does not fire; latency pause column `stage_3_firecrawl_outage_pause_ms` recorded — closes D-13V-022",tools/spec-lint/gates/firecrawl_outage_progress_line_substitution.ts,tools/spec-lint/gates/firecrawl_outage_progress_line_substitution.ts:missing,Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. Checked: tools/spec-lint/gates/firecrawl_outage_progress_line_substitution.ts.
kb_bootstrap_allowance_compensation_completeness,Sourcera_Master_Spec.md,67431,M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions},blocker,runtime_behavior + content_consistency,spec_binding_pending_pack_m02_3,m02_3,convex unit + post-build,Eligibility predicate matches the four canonical causes; `kb_bootstrap.allowance_restored` audit event schema includes `restoration_reason ∈ Appendix J`; Ops endpoint exists with correct auth-scope; Loops.so email type registered — closes D-13V-023,tools/spec-lint/gates/kb_bootstrap_allowance_compensation_completeness.ts,tools/spec-lint/gates/kb_bootstrap_allowance_compensation_completeness.ts:missing,Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. Checked: tools/spec-lint/gates/kb_bootstrap_allowance_compensation_completeness.ts.
