id,blocker_kind,file,line,section,severity,source_phase,runtime_status,owning_pack,row_class_or_scope,execution_context,assertion,missing_evidence,evidence_artifact_status,evidence_posture,message
"s3_cross_region_replica_dpa_approval_required","runtime_evidence","Sourcera_Master_Spec.md","71905","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","V9","spec_binding_pending_pack_m21_3","m21_3","Terraform IaC apply hook + AuditEvent emission check.","Terraform IaC apply hook + AuditEvent emission check.","Cross-region replica policy override MUST emit `org.residency.cross_region_replica_approved` AuditEvent prior to IaC apply; absent approval, IaC apply fails.",".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",".github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
"backup_dsar_repseudonymization_completeness","runtime_evidence","Sourcera_Master_Spec.md","71906","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","V9","spec_binding_pending_pack_m21_3","m21_3","DSAR fulfillment QA test pack.","DSAR fulfillment QA test pack.","Cascade MUST emit `dsar.cascade.backup_repseudonymization_required` on cascade-target blob set computation; the cascade does NOT mark fulfillment until `dsar.cascade.backup_repseudonymization_completed` (in-place) OR `dsar.cascade.backup_repseudonymization_completed_via_exclusion` fires.",".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",".github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
"dsar_excluded_snapshot_restore_blocked","runtime_evidence","Sourcera_Master_Spec.md","71907","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","V9","spec_binding_pending_pack_m21_3","m21_3","Backup-restore handler tests.","Backup-restore handler tests.","Restore from a `dsar_excluded_snapshots` blob MUST reject with `restore_from_dsar_excluded_snapshot_blocked` (HTTP 403).",".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",".github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
"snapshot_catalog_residency_partition","runtime_evidence","Sourcera_Master_Spec.md","71908","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","V9","spec_binding_pending_pack_m21_3","m21_3","Snapshot catalog read-path static analysis + integration tests.","Snapshot catalog read-path static analysis + integration tests.","Per-region snapshot retention catalogs MUST be residency-bound; cross-region catalog reads from customer surfaces blocked.",".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",".github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
"attachment_dsar_72h_binary_detach_sla","runtime_evidence","Sourcera_Master_Spec.md","71909","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","V9","spec_binding_pending_pack_m11_3","m11_3","Datadog synthetic test against the Convex Storage delete API on a Pattern-A DSAR-attached binary.","Datadog synthetic test against the Convex Storage delete API on a Pattern-A DSAR-attached binary.","DSAR right-to-erasure on uploader MUST result in binary payload hard-deleted from storage backend within 72 hours of cascade `dsar.cascade.row_redacted`.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"appendix_m_coverage_on_diff","runtime_evidence","Sourcera_Master_Spec.md","71914","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.18 [V11 catalog-completeness]","spec_binding_pending_pack_m02_3","m02_3","`Sourcera_Master_Spec.md` post-edit Markdown parse tree relative to merge-base snapshot. Detector at `tools/spec-lint/appendix_m_coverage_on_diff.ts` plus parser / cross-validator / filter / poster / audit-normalization chain.","`Sourcera_Master_Spec.md` post-edit Markdown parse tree relative to merge-base snapshot. Detector at `tools/spec-lint/appendix_m_coverage_on_diff.ts` plus parser / cross-validator / filter / poster / audit-normalization chain.","Every PR-introduced engine concept across the 12 concept classes defined in §M.4.2 MUST resolve to an Appendix M.1 row OR an accepted §M.4.4 override OR an explicit `@appendix-m-internal-only:` annotation passing §M.4.4.2 cross-validation. Inline `Appendix M.5 \`<gate>\`` citations MUST resolve to a catalog row.","tools/spec-lint/appendix_m_coverage_on_diff.ts, tools/spec-lint/override_parser.ts, tools/spec-lint/cross_validation.ts, tools/spec-lint/cosmetic_edit_filter.ts, tools/spec-lint/comment_poster.ts, tools/spec-lint/audit_emit.ts, .github/workflows/spec-lint.yml, convex/crons/appendix_m_gate_nightly_digest.ts, convex/audit/spec_lint_audit_event.ts, tools/release/runtime_evidence/appendix_m_coverage_on_diff.json","tools/spec-lint/appendix_m_coverage_on_diff.ts:present; tools/spec-lint/override_parser.ts:present; tools/spec-lint/cross_validation.ts:present; tools/spec-lint/cosmetic_edit_filter.ts:present; tools/spec-lint/comment_poster.ts:present; tools/spec-lint/audit_emit.ts:present; .github/workflows/spec-lint.yml:present; convex/crons/appendix_m_gate_nightly_digest.ts:missing; convex/audit/spec_lint_audit_event.ts:missing; tools/release/runtime_evidence/appendix_m_coverage_on_diff.json:missing","partial_local_chain_external_evidence_pending","Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. Checked: tools/spec-lint/appendix_m_coverage_on_diff.ts, tools/spec-lint/override_parser.ts, tools/spec-lint/cross_validation.ts, tools/spec-lint/cosmetic_edit_filter.ts, tools/spec-lint/comment_poster.ts, tools/spec-lint/audit_emit.ts, .github/workflows/spec-lint.yml, convex/crons/appendix_m_gate_nightly_digest.ts, convex/audit/spec_lint_audit_event.ts, tools/release/runtime_evidence/appendix_m_coverage_on_diff.json."
"cost_base_recalc_notice_window_trajectory_gate","runtime_evidence","Sourcera_Master_Spec.md","71918","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","V11 (D-11.3-002 remediation)","spec_binding_pending_pack_m11_3","m11_3","§34.18 cost-base recalc trajectory authoring; PolicyIngestion-driven recalc tests.","§34.18 cost-base recalc trajectory authoring; PolicyIngestion-driven recalc tests.","The cost-base recalc notice window MUST trajectory through the canonical 30-day notice → 7-day final-warning → recalc-applied sequence; deviations from the trajectory (skipped notice, late warning, premature apply) fail.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"kb_bootstrap_per_org_concurrency_lock_active","runtime_evidence","Sourcera_Master_Spec.md","71921","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","V11 (D-11.3-002 remediation; v7.1.1 stamp gate)","spec_binding_pending_pack_m11_3","m11_3","§22.4.4 KB Bootstrap concurrency-lock runtime path (Convex transaction handler) + integration tests.","§22.4.4 KB Bootstrap concurrency-lock runtime path (Convex transaction handler) + integration tests.","Concurrent KB Bootstrap invocations for the same Org MUST acquire a per-Org Convex transaction lock; second-invocation rejection MUST return HTTP 409 `kb_bootstrap_already_in_progress` per Appendix I.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"bid_disqualification_cascade_active","runtime_evidence","Sourcera_Master_Spec.md","71922","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","V11 (D-11.3-002 remediation; v7.1.1 stamp gate)","spec_binding_pending_pack_m11_3","m11_3","§48.8.10 Cross-Console Bridge bid-disqualification cascade handler + property tests.","§48.8.10 Cross-Console Bridge bid-disqualification cascade handler + property tests.","Bid disqualification on the buyer side MUST cascade to the seller-bound BidWorkspace via the Console Bridge `bid.disqualified` event within 60 seconds; cascade failure MUST emit `bid_disqualification_cascade_failed` (HTTP 503) and route to §6.8.4.6 partial-failure path.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"wallet_read_role_gate_scope","runtime_evidence","Sourcera_Master_Spec.md","71923","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","V11 (D-11.3-002 remediation)","spec_binding_pending_pack_m11_3","m11_3","`/v1/orgs/{org_id}/wallet` endpoint handler tests; §5.11 Feature Access Matrix wallet:read row.","`/v1/orgs/{org_id}/wallet` endpoint handler tests; §5.11 Feature Access Matrix wallet:read row.","Only `billing_admin`, `org_owner`, `org_admin`, and Buyer Console `finance` roles MAY read the AIWallet. Any other role attempting `GET /v1/orgs/{org_id}/wallet` MUST return HTTP 403 `wallet_read_role_forbidden`.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"committed_spend_single_pool_invariant","runtime_evidence","Sourcera_Master_Spec.md","71924","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","V11 (D-11.3-002 remediation; D-1.7-009 correction)","spec_binding_pending_pack_m24_3","m24_3","`/v1/orgs/{org_id}/committed-spend/*` handler tests; §4.8.3 / §4.8.8 / §34.12.5 Committed Spend authoring.","`/v1/orgs/{org_id}/committed-spend/*` handler tests; §4.8.3 / §4.8.8 / §34.12.5 Committed Spend authoring.","At most one active `CommittedSpendContract` row per `org_id`. Renewal, partial dissolution, and restoration MUST transition the prior row out of `active`, activate the replacement, and replace AIWallet.`committed_spend_contract_id` atomically. A second activation MUST return HTTP 409 `committed_spend_contract_already_active`.",".github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators",".github/workflows/billing-runtime.yml:missing; tests/billing:missing; convex/deploy_validators:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m24_3; required artifact evidence not promoted. Checked: .github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators."
"committed_spend_single_auto_renew_invariant","runtime_evidence","Sourcera_Master_Spec.md","71925","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","V11 (D-11.3-002 remediation; D-1.7-009 correction)","spec_binding_pending_pack_m24_3","m24_3","`/v1/orgs/{org_id}/committed-spend/renew` handler tests; §4.8.8 / §34.12.5 Committed Spend authoring.","`/v1/orgs/{org_id}/committed-spend/renew` handler tests; §4.8.8 / §34.12.5 Committed Spend authoring.","At most one future auto-renew schedule may exist per `org_id`; it belongs to the Org's sole active contract. Conflicting schedule registration MUST return HTTP 409 `committed_spend_auto_renew_already_scheduled`.",".github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators",".github/workflows/billing-runtime.yml:missing; tests/billing:missing; convex/deploy_validators:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m24_3; required artifact evidence not promoted. Checked: .github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators."
"committed_spend_console_scope_consistency","runtime_evidence","Sourcera_Master_Spec.md","71926","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","V11 (D-11.3-002 remediation)","spec_binding_pending_pack_m24_3","m24_3","Committed-spend cross-console-read handlers + property tests.","Committed-spend cross-console-read handlers + property tests.","Committed-spend pools are console-scoped per §1.3 firewall: a `console=buyer` pool MUST NOT be readable from a seller-console session and vice versa. Cross-console read attempt MUST return HTTP 404 (subkind `firewall_non_leak` per §7.2).",".github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators",".github/workflows/billing-runtime.yml:missing; tests/billing:missing; convex/deploy_validators:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m24_3; required artifact evidence not promoted. Checked: .github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators."
"accessibility_settings_preference_contract","runtime_evidence","Sourcera_Master_Spec.md","71938","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","Phase 37 P1 (D-37-003 remediation)","spec_binding_pending_pack_m11_3","m11_3","Settings -> Accessibility UI, §4.2.14 UserAccessibilityPreference handlers, DSAR export.","Settings -> Accessibility UI, §4.2.14 UserAccessibilityPreference handlers, DSAR export.","Saving Settings -> Accessibility MUST persist UserAccessibilityPreference, apply without reload, emit redacted AuditEvent, and include the row in DSAR export while redacting raw assistive-tech JSON.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"rtl_directionality_runtime_contract","runtime_evidence","Sourcera_Master_Spec.md","71942","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","Phase 37 P1 (D-37-002 remediation)","spec_binding_pending_pack_m11_3","m11_3","`useDirectionality()` hook and `responsive_conformance_suite` RTL passes.","`useDirectionality()` hook and `responsive_conformance_suite` RTL passes.","RTL sessions MUST set `dir`, mirror directional icons only, align numbers per §38.11, and preserve meaningful reading order at every responsive tier.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"locale_resolution_engine_contract","runtime_evidence","Sourcera_Master_Spec.md","71943","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","Phase 37 P1 (D-37-005 remediation)","spec_binding_pending_pack_m11_3","m11_3","Locale Resolution Engine, `next-intl` formatting, public and authenticated route shells.","Locale Resolution Engine, `next-intl` formatting, public and authenticated route shells.","Locale resolution MUST follow §37.2 precedence, set `<html lang>`, use ICU MessageFormat, and render locale-aware dates / numbers / currency without string concatenation.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"workspace_pulse_health_persistence_contract","runtime_evidence","Sourcera_Master_Spec.md","71948","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","Phase 4.11 P1 (D-4.11-007 remediation)","spec_binding_pending_pack_m11_3","m11_3","§4.3.22.2 entity writes, daily Pulse compute scheduler, Solo-mode suppression path, and threshold-event correlation.","§4.3.22.2 entity writes, daily Pulse compute scheduler, Solo-mode suppression path, and threshold-event correlation.","Daily Pulse compute MUST write exactly one WorkspacePulseHealth row per Workspace per UTC day, persist the same row in Solo Mode while suppressing only the surface, lock Phase 12 rows against mutable recompute, and bind color-band transitions to the threshold event ID when emitted.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"seller_pulse_surface_engine_mapping","runtime_evidence","Sourcera_Master_Spec.md","71952","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","Phase 5.5 / Phase 24 P1 (D-24-014 remediation)","spec_binding_pending_pack_m11_3","m11_3","Appendix M.1 Seller Pulse row + §24.4.4 Solo Seller Surface Treatment.","Appendix M.1 Seller Pulse row + §24.4.4 Solo Seller Surface Treatment.","Seller Pulse MUST have a distinct Appendix M.1 row, must not be collapsed with Seller Inbox or Seller Analytics, and must preserve engine writes while suppressing per-component breakdown / team status / trend chart on Seller Solo / Free.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"firecrawl_outage_progress_line_substitution","runtime_evidence","Sourcera_Master_Spec.md","72105","M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","blocker","V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","spec_binding_pending_pack_m02_3","m02_3","runtime_behavior","pr_lint + next.js render-path test + Datadog synthetic","§48.8.3 step 5 sequencer reads `provider_health_state(firecrawl)` at line-render; substitute line never renders literal `""Scanning""`; §48.8.7 #7 detector does not fire; latency pause column `stage_3_firecrawl_outage_pause_ms` recorded. Local guard `tools/spec-lint/gates/firecrawl_outage_progress_line_substitution.ts` and pass/fail fixtures protect the spec contract; deployed render-path and Datadog evidence remains required — closes D-13V-022.","deployed render-path and Datadog evidence remains required","tools/spec-lint/gates/firecrawl_outage_progress_line_substitution.ts:present","local_guard_present_external_evidence_pending","Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. No candidate path is inferred; use the row execution context and assertion."
"kb_bootstrap_allowance_compensation_completeness","runtime_evidence","Sourcera_Master_Spec.md","72106","M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","blocker","V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","spec_binding_pending_pack_m02_3","m02_3","runtime_behavior + content_consistency","pr_lint + convex unit + post-build","Eligibility predicate matches the four canonical causes; `kb_bootstrap.allowance_restored` audit event schema includes `restoration_reason ∈ Appendix J`; Ops endpoint exists with correct auth-scope; Loops.so email type registered. Local guard `tools/spec-lint/gates/kb_bootstrap_allowance_compensation_completeness.ts` and pass/fail fixtures protect the spec contract; deployed Convex, endpoint, audit, and delivery evidence remains required — closes D-13V-023.","deployed Convex, endpoint, audit, and delivery evidence remains required","tools/spec-lint/gates/kb_bootstrap_allowance_compensation_completeness.ts:present","local_guard_present_external_evidence_pending","Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. No candidate path is inferred; use the row execution context and assertion."
"buyer_activation_metric_canonical_consumer","runtime_evidence","Sourcera_Master_Spec.md","72107","M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","blocker","V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","spec_binding_pending_pack_m21_3","m21_3","content_consistency","post-build","§35.5.2 formula is single-sourced; every §51 / §42 / §50.14 dashboard queries via the canonical formula; no inline duplication anywhere — closes D-51-001",".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",".github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
"usage_dashboard_plan_gating_canonical_6_tier_consumer","runtime_evidence","Sourcera_Master_Spec.md","72110","M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","blocker","V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","spec_binding_pending_pack_m21_3","m21_3","content_consistency","post-build","§51.3.6 12-row enumeration matches §34.1 canonical 6-tier-per-console schema; no inline numerical literals duplicating §34.1 / §39; Solo rows cite §44.6.1 hide list — closes D-51-004 / -005 / -006 / -007",".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",".github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
"m16_same_domain_enforcement_dual_point_canonical","runtime_evidence","Sourcera_Master_Spec.md","72113","M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","blocker","V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","spec_binding_pending_pack_m02_3","m02_3","runtime_behavior + content_consistency","pr_lint + convex unit + post-build","Create-time validator runs IFF `referee_email` provided at create; signup-time safety net catches SSO-domain-divergence; both points emit canonical `m16_referral_same_domain_blocked` with `enforcement_point ∈ Appendix J enum`. Local guard `tools/spec-lint/gates/m16_same_domain_enforcement_dual_point_canonical.ts` and pass/fail fixtures protect the spec contract; deployed create-time and signup-time validator evidence remains required — closes D-13V-004.","deployed create-time and signup-time validator evidence remains required","tools/spec-lint/gates/m16_same_domain_enforcement_dual_point_canonical.ts:present","local_guard_present_external_evidence_pending","Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. No candidate path is inferred; use the row execution context and assertion."
"m3_signed_payload_anonymity_binding","runtime_evidence","Sourcera_Master_Spec.md","72119","M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","blocker","V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","spec_binding_pending_pack_m11_3","m11_3","runtime_behavior + schema_contract","migration + convex transaction + signer + API/public-render integration","M3 draft remains unsigned; atomic publish server-derives the signed buyer display from committed anonymity fields; public HTML/JSON/meta/cache/webhook/telemetry cannot leak buyer identity; post-publish mutation fails closed — closes D-48-008",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"solo_tier_buyer_hero_moment_slo_single_source","runtime_evidence","Sourcera_Master_Spec.md","72135","M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","blocker","V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","spec_binding_pending_pack_m21_3","m21_3","content_consistency","post-build","Parity with seller-side gate; §35.5.5 AC #4 + §44.6.4.X — closes D-HM-002 sibling",".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",".github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
"dsar_erased_seller_excluded_from_recovery_cadence","runtime_evidence","Sourcera_Master_Spec.md","72137","M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","blocker","V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","spec_binding_pending_pack_m02_3","m02_3","runtime_behavior","pr_lint + convex unit + suppression-list join","§48.8.12 sweeper skips pseudonymized rows; send/retry dispatch re-checks erasure state; audit row records a PII-minimized skip; recovery state remains unchanged. Local guard `tools/spec-lint/gates/dsar_erased_seller_excluded_from_recovery_cadence.ts` and pass/fail fixtures protect the spec contract; deployed enqueue, send-time, retry, and suppression-join evidence remains required — closes D-HM-006 sibling.","deployed enqueue, send-time, retry, and suppression-join evidence remains required","tools/spec-lint/gates/dsar_erased_seller_excluded_from_recovery_cadence.ts:present","local_guard_present_external_evidence_pending","Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. No candidate path is inferred; use the row execution context and assertion."
"dsar_erased_buyer_excluded_from_recovery_cadence","runtime_evidence","Sourcera_Master_Spec.md","72138","M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","blocker","V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","spec_binding_pending_pack_m21_3","m21_3","runtime_behavior","convex unit","Parity with seller-side; §35.5.4 — closes D-HM-002 sibling",".github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics",".github/workflows/marketplace-runtime.yml:missing; convex/deploy_validators:missing; tests/marketplace:missing; tests/analytics:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
"network_effects_dashboard_outage_render_contract","runtime_evidence","Sourcera_Master_Spec.md","72141","M.5.12 V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","blocker","V13 catalog additions (PLG / Growth / Analytics / Hero Moment) {#m-5-12-v13-additions}","spec_binding_pending_pack_m02_3","m02_3","runtime_behavior","pr_lint + next.js render-path test","All four §48.3.8 render paths remain specified (PostHog / Snowflake / Datadog / composite). Local guard `tools/spec-lint/gates/network_effects_dashboard_outage_render_contract.ts` and pass/fail fixtures protect the spec contract; deployed four-path render evidence remains required — closes D-48.3-009.","deployed four-path render evidence remains required","tools/spec-lint/gates/network_effects_dashboard_outage_render_contract.ts:present","local_guard_present_external_evidence_pending","Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. No candidate path is inferred; use the row execution context and assertion."
